recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-1957CBB6C820,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S002,,,guideline_generic,General Coronary Revascularization,"A comprehensive evaluation of the TV, including the tricuspid annulus, should be performed at the time of surgery (section .3)",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.7 numbered,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:A comprehensive evaluation of the TV, including the tricuspid annulus, should be performed at the time of surgery (secti",,,,,,,,,,,should be performed,,,
GR-1A8D0D9FA48B,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S047,,,guideline_generic,General Coronary Revascularization,Volume and afterload challenges should be undertaken to simulate baseline physiologic conditions and avoid underestimation of residual MV pathology,,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.11 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Volume and afterload challenges should be undertaken to simulate baseline physiologic conditions and avoid underestimati,,,,,,,,,,,,,,
GR-1B15D1DA5BAF,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S174,,,guideline_generic,General Coronary Revascularization,Left and right ventricular function should be reassessed,,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.37 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Left and right ventricular function should be reassessed,,,,,,,,,,,,,,
GR-1B78E5E69AA4,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S003,,,guideline_generic,General Coronary Revascularization,"Similarly, the venous cannula should be visualized as it enters the RA and engages the SVC",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.9 numbered,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Similarly, the venous cannula should be visualized as it enters the RA and engages the SVC",,,,,,,,,,,,,,
GR-1D333C7CE0B8,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S168,,,guideline_generic,General Coronary Revascularization,"Specifically, significant RV dysfunction and dilation should be discussed with the surgical team as ECMO deployment may be required preemptively in anticipation of pulmonary artery clamping, or emergently during episodes of hypoxia, hypercarbia, or hemodynamic instability",,,hemodynamic instability,significant,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.37 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Specifically, significant RV dysfunction and dilation should be discussed with the surgical team as ECMO deployment may",,,hemodynamic instability,,,,,,,clinical_state:hemodynamic instability [eq],,,,
GR-1FB82C72B4DA,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S146,,,guideline_generic,General Coronary Revascularization,"At the time of ECMO placement, TEE should establish cannula position, ensuring that inflow and outflow are not positioned in such proximity that recirculation occurs during VV ECMO (oxygenated circuit outflow is preferentially taken up by the inflow cannula, rather than entering the patient’s circulation)",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.35 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:At the time of ECMO placement, TEE should establish cannula position, ensuring that inflow and outflow are not positione",,,,,,,,,,,,,,
GR-22DBECA0C424,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S082,,,guideline_generic,General Coronary Revascularization,"normal $0.35).26 As patientprosthesis mismatch can lead to diminished LV mass regression and poor long-term outcome after AV replacement, the effective orifice area (EOA) of the newly implanted prosthetic valve should be calculated using the continuity equation",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.20 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:normal $0.35).26 As patientprosthesis mismatch can lead to diminished LV mass regression and poor long-term outcome afte,,,,,,,,,,,,,,
GR-23D7498D4392,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S141,,,guideline_generic,General Coronary Revascularization,Pre-deployment echocardiographic examination should characterize biventricular systolic function in order to determine the type of ECMO circuit required (VV or VA),,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.35 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Pre-deployment echocardiographic examination should characterize biventricular systolic function in order to determine t,,,,,,,,,,,,,,
GR-242F363BEF05,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S152,,,guideline_generic,General Coronary Revascularization,Spectral Doppler should be used to measure the peak velocity,,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.36 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Spectral Doppler should be used to measure the peak velocity,,,,,,,,,,,,,,
GR-2497A27F6FC6,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S024,,,guideline_generic,General Coronary Revascularization,"Echocardiographers performing an intraoperative TEE examination should be familiar with the echocardiographic appearance of intracardiac tumors, as well as with the limitations of TEE in imaging tumors and masses",,,,,,,,intra-operative,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.38 numbered,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Echocardiographers performing an intraoperative TEE examination should be familiar with the echocardiographic appearance,,,,,,,,,,,,,,
